mission,rank,source,official_loss,predicted_ld,predicted_mass_kg,predicted_payload_m3,predicted_fuel_m3,predicted_stress_mpa,stress_uncertainty_mpa,stress_ucb_mpa,conservative_feasible,in_bounds,discrete_valid,surrogate_only_validation,C2/C1,C3/C1,C4/C1,B1/C1,B2/C1,B3/C1,X3/C1,S1,S3,C1,Skin Thickness,Front Spar Chord %,Rear Spar Chord %,Spar Thickness,# of Ribs,Rib Thickness,Wingbox Cutout,# of Fuselage Ribs,# of Fuselage Spars,Fuselage Struct Thickness,Fuselage Struct Width
Max Capacity,1,sklearn_hybrid,0.13399602502293184,12.925685004379261,135.78627568169645,0.6987966640243176,0.18738190097518773,104.57681504641823,92.20200824922718,285.2927512149035,True,True,True,True,0.7297820463,0.2561972662,0.0689346315,0.1237011066,0.0708455694,0.4309949546,0.5953900986,41.6338227775,31.921599922,3509.6569117896,0.0012267273,0.271284866,0.5921604209,0.0030705578,7.0,0.0018171457,0.0167579893,3.0,5.0,0.0030913566,0.0030258865
Max Capacity,2,sklearn_hybrid,0.19028054169343156,13.42969533163271,125.48591790162678,0.6460736076288762,0.149141023883086,89.2148240619567,86.55789108081046,258.8682905803452,True,True,True,True,0.701375226,0.2514883605,0.0716707973,0.1321700457,0.0686994251,0.4637255357,0.588350812,43.8309334002,32.4055547522,3344.8682490536,0.001202965,0.2750453139,0.581548649,0.0029307903,7.0,0.0027528966,0.0178704779,3.0,4.0,0.0047718882,0.0026850235
Max Capacity,3,sklearn_hybrid,0.22016504080100113,12.375381663949714,112.92627371233789,0.4241631374216981,0.14545430521193153,80.391463002952,122.18443758944548,319.87296067826514,True,True,True,True,0.7196174474,0.2736239447,0.0608937718,0.1230572803,0.077032803,0.3807652597,0.5502047624,44.8754526302,22.814594619,3158.4242181852,0.001464317,0.1956531437,0.569881073,0.0029057953,11.0,0.0029239464,0.0204581284,5.0,4.0,0.005720949,0.0032654947
Max Capacity,4,sklearn_hybrid,0.3190209812097853,12.994519705214092,151.7003860366683,0.407294863848423,0.152498318028862,82.36931490915576,99.0562038154936,276.51947438752325,True,True,True,True,0.611546426,0.2253098514,0.078906223,0.1365622688,0.1570472013,0.488419452,0.6386827694,57.0196696257,22.3946176154,2879.7190200395,0.0005470991,0.2330701175,0.5542607319,0.0056684983,7.0,0.0057785438,0.0127306744,5.0,11.0,0.0071701128,0.0054456983
Max Capacity,5,sklearn_hybrid,0.31911105732210554,12.963233540816818,153.08068754223194,0.42147609542369163,0.1483170046647629,66.03982358541201,63.05759123537762,189.63270240675214,True,True,True,True,0.6386369043,0.2218762061,0.0763942035,0.1366405736,0.1448678512,0.4975852732,0.6229406433,57.0930827411,24.690761245,2901.9184864164,0.0003212043,0.2504389144,0.5517575522,0.0057549897,7.0,0.0072391637,0.0127417564,5.0,10.0,0.0081892667,0.0041171372
Max Capacity,6,sklearn_hybrid,0.327674868091326,11.632881038013403,158.26578407461062,0.3326430649546344,0.20555562059153712,65.48647120428517,65.75809105443304,194.3723296709739,True,True,True,True,0.7872121723,0.20192756,0.0733003302,0.159960925,0.1577798579,0.4099559678,0.5331564879,48.3256086826,21.3114771352,2849.9177313508,0.0016281639,0.3023297585,0.605667256,0.0036239515,14.0,0.0031312635,0.0302698428,9.0,8.0,0.0060677399,0.00318337
Max Capacity,7,sklearn_hybrid,0.027073291701689296,11.464115008623212,118.82201407549057,0.5553657573505492,0.19948358132329563,227.60982881340087,228.36290409779355,675.2011208450762,False,True,True,True,0.843775119,0.192090911,0.0811290371,0.1830407603,0.1164637196,0.4758489626,0.5251634368,51.5327434614,25.2270160802,2982.4239602312,0.0013311837,0.2926890121,0.6646246035,0.0026421702,13.0,0.0024714343,0.0239454384,7.0,6.0,0.0054075405,0.0034911236
Max Capacity,8,sklearn_hybrid,0.14007043729601323,12.101815441170402,156.37319648345778,0.5623890067834043,0.20188778882258082,224.19090166564183,264.8272085680217,743.2522304589644,False,True,True,True,0.7140092218,0.1885374461,0.0775900013,0.1365834031,0.1241947494,0.4459755133,0.6378186845,54.2700022459,27.9793765582,3181.6911534406,0.0009194991,0.2694236401,0.6592519825,0.00155,5.0,0.0141497269,0.015747631,5.0,5.0,0.0166822595,0.0014590745
Max Capacity,9,sklearn_hybrid,0.21063702249674177,11.535976081315283,100.25615270946233,0.8224612125099018,0.1699969477458117,417.9752543061107,432.0801173232896,1264.8522842597583,False,True,True,True,0.5875010324,0.21387265,0.0877394993,0.1067303303,0.0642662581,0.3882592094,0.5184059272,40.1962984167,33.8740029559,3943.6238235794,0.000946707,0.1937096015,0.5630611829,0.00155,8.0,0.0015,0.0112857188,3.0,3.0,0.0038993507,0.002008995
Max Capacity,10,sklearn_hybrid,0.21266709439737957,13.915659442753917,135.1865570996987,0.5090386761041213,0.22852640820702613,514.7912658084126,415.56869333063776,1329.3059047364627,False,True,True,True,0.6043465285,0.2690075226,0.0646746758,0.1495350335,0.1582615165,0.6919463394,0.5212559245,59.2552407272,26.5082165413,3192.5067896955,0.0015551126,0.2023249269,0.7497006763,0.0029145069,13.0,0.0028811376,0.0177013797,7.0,6.0,0.0049527235,0.0027613284
Max Endurance,1,sklearn_hybrid,0.004696884107540594,11.988821009278086,95.54133017252195,0.38610967941265484,0.18697639064776123,72.66097417080807,96.8818303458183,262.5493616486119,True,True,True,True,0.7897781982,0.2353972573,0.0775543522,0.1665759592,0.1520561378,0.5795743332,0.5326288977,51.8948166855,36.6453610348,2668.6213983842,0.0003276685,0.2348415595,0.5928319786,0.0019671199,14.0,0.0038448248,0.0217650551,7.0,5.0,0.0048556905,0.0014584946
Max Endurance,2,sklearn_hybrid,0.00582936619337605,11.672287115984862,93.307053315536,0.40320186750558096,0.17581743272582698,65.92885584457657,69.05409760545837,201.27488715127498,True,True,True,True,0.7910196963,0.2346706258,0.0751528375,0.15989365,0.1352314919,0.5694841212,0.5403974451,51.8236983253,34.8935909457,2737.5810258813,0.0008377706,0.252624962,0.5721747895,0.0022066976,13.0,0.0036755318,0.0223814665,7.0,5.0,0.0048473322,0.0031370231
Max Endurance,3,sklearn_hybrid,0.1360183287064372,10.676075786041155,84.9014915841711,0.2803623695545927,0.19938033831423713,58.165356267284025,65.36578647543107,186.28229775912894,True,True,True,True,0.7158587553,0.1801320533,0.0874532437,0.1131506934,0.1859437571,0.3627670962,0.5818256998,57.2284102812,38.7911701016,2823.0484654196,0.0014315314,0.1892538813,0.5733523956,0.0026290309,10.0,0.0021831584,0.0200005722,5.0,5.0,0.0043971316,0.0032957772
Max Endurance,4,sklearn_hybrid,0.3727951587393102,12.137288622366466,155.35373763386625,0.33653431639532466,0.1435144349181035,73.34209414071802,102.0162641141641,273.29397180447967,True,True,True,True,0.6763073614,0.2020653558,0.0822020315,0.1557991424,0.187951973,0.4818433347,0.5290314054,45.1819486299,32.5521738681,2577.0887452241,0.0015597699,0.2183650872,0.5898224034,0.0035167517,5.0,0.0029688767,0.0106439562,5.0,6.0,0.006325551,0.0108845074
Max Endurance,5,sklearn_hybrid,0.49262700451382113,11.014161403969089,149.08572230041773,0.2755184015091527,0.11073177309551736,82.56874775829455,107.75457252697201,293.76770991115967,True,True,True,True,0.7823943809,0.2345415363,0.0727837284,0.1457263007,0.1021132399,0.6379340078,0.592051699,59.4582716309,33.0192472781,2619.2040946112,0.0003203351,0.3043631268,0.7056947679,0.0062280339,5.0,0.0130663459,0.0252847305,9.0,5.0,0.0091970411,0.004371194
Max Endurance,6,sklearn_hybrid,0.5652862377287124,11.754457362910811,170.77998461715757,0.356996365305893,0.13882414999112563,59.05847167015919,64.9218080155022,186.30521538054347,True,True,True,True,0.6662346298,0.2004775169,0.0803795894,0.1572672845,0.1794257896,0.5153154437,0.5276621759,44.7132373154,32.8936594628,2608.7885226318,0.0017993713,0.2286900309,0.5946631128,0.0031027399,6.0,0.0039195424,0.0125322382,5.0,7.0,0.0077106765,0.0094918938
Max Endurance,7,sklearn_hybrid,0.006911782368622879,11.78782756648626,92.31374305682151,0.3912342274595163,0.17738493729550459,113.77626992409914,271.3789500811741,645.6790120832003,False,True,True,True,0.7712521832,0.243695712,0.0787703597,0.1648223162,0.138916781,0.6442270435,0.5339405545,45.8948166855,38.1753833592,2745.3345716931,0.0014995697,0.2689111537,0.567648226,0.0030645687,13.0,0.0025499363,0.021421179,5.0,5.0,0.0048283351,0.0026718935
Max Endurance,8,sklearn_hybrid,0.06707305406407232,11.197242918023427,92.13527714511945,0.3472627908804151,0.14443920010565914,321.68074683401335,522.1364246932357,1345.0681392327551,False,True,True,True,0.5549925873,0.2071289073,0.0803173543,0.1675678744,0.1909569,0.4138971851,0.6434040306,41.4572901651,20.0100415945,2777.4248304777,0.0016638358,0.2854259545,0.6524928603,0.0024072831,11.0,0.0025262884,0.0216823799,5.0,5.0,0.0042565384,0.0031421054
Max Endurance,9,sklearn_hybrid,0.0758875368395714,10.349651152587018,111.68654037499337,0.37746270327796505,0.14393651234396926,136.68390547687932,298.02079008385925,720.8046540412435,False,True,True,True,0.7775449604,0.1810915356,0.0677152732,0.1837176615,0.1542279192,0.3677064476,0.5480634656,56.8189803511,35.5748816021,2519.4717994891,0.0014414955,0.3189960282,0.5591155287,0.0025796518,4.0,0.0030817499,0.0177139679,7.0,12.0,0.0100541393,0.003660496
Max Endurance,10,sklearn_hybrid,0.16968070701604665,9.739957685892476,83.16161052628237,0.284270867830911,0.20678863154854685,521.6169238020427,567.3565877327096,1633.6358357581535,False,True,True,True,0.8427368884,0.1822691269,0.0601981828,0.1087509867,0.1538540181,0.511886134,0.5567891282,49.0220825188,23.6854725704,2807.5517374091,0.0013250396,0.2766262059,0.7412953477,0.0026190676,12.0,0.0029376416,0.0193550288,7.0,5.0,0.0049923775,0.0033971113
