root_seed,case_id,base_case_id,variant,search_seed,selected_origin,nearest_dataset_row,nearest_normalized_distance,exact_database_match,stress_status,empty_mass_kg,ld,payload_volume_m3,fuel_volume_m3,max_hotspot_stress_mpa
20260819,high_speed_dash__baseline,high_speed_dash,baseline,20975502,gaussian_process,5513,0.8644745201346649,False,PASS,142.5473041760972,6.891599847620215,0.3159539559836781,0.2590070356743304,80.96000300898677
20260819,high_speed_dash__payload_minus,high_speed_dash,payload_minus,20975502,gaussian_process,5513,0.8644745201346649,False,PASS,142.5473041760972,6.891599847620215,0.3159539559836781,0.2590070356743304,80.96000300898677
20260819,high_speed_dash__payload_plus,high_speed_dash,payload_plus,20975502,gaussian_process,11610,0.750009925149278,False,PASS,130.50505282941,6.2551349439096215,0.420264584340434,0.21604547093962673,92.5334254142032
20260819,high_speed_dash__fuel_minus,high_speed_dash,fuel_minus,20975502,gaussian_process,11610,0.7497197624548392,False,PASS,130.50505282941,6.253749225459929,0.420264584340434,0.21604547093962673,92.5334254142032
20260819,high_speed_dash__fuel_plus,high_speed_dash,fuel_plus,20975502,gaussian_process,5513,0.8644745201346649,False,PASS,142.5473041760972,6.891599847620215,0.3159539559836781,0.2590070356743304,80.96000300898677
20260819,max_endurance__baseline,max_endurance,baseline,20510295,database_seed,816,5.216328316985215e-09,True,PASS,51.544129581954245,7.422852728722846,0.7246590532641554,0.3622437539610231,109.12029394535737
20260819,max_endurance__payload_minus,max_endurance,payload_minus,20510295,database_seed,1783,3.930187463650868e-09,True,PASS,55.194048840209966,7.47881154307171,0.6453367754647333,0.38065642035153274,125.21638474450769
20260819,max_endurance__payload_plus,max_endurance,payload_plus,20510295,database_seed,2411,4.055363749457376e-09,True,PASS,47.04785484840178,7.439508200099085,0.7171128879919368,0.31301187562091315,58.84649572752716
20260819,max_endurance__fuel_minus,max_endurance,fuel_minus,20510295,database_seed,816,5.216328316985215e-09,True,PASS,51.544129581954245,7.422852728722846,0.7246590532641554,0.3622437539610231,109.12029394535737
20260819,max_endurance__fuel_plus,max_endurance,fuel_plus,20510295,database_seed,1060,2.8681800291496726e-09,True,PASS,50.9132823764922,7.34825793499161,0.6629124348700746,0.326990764605692,99.39266963724835
20260819,max_capacity__baseline,max_capacity,baseline,20410467,database_seed,2462,7.42133350968148e-09,True,FAIL,59.65521371712636,15.132497299465241,0.8017392960064633,0.43551734611212056,748.8668119315321
20260819,max_capacity__payload_minus,max_capacity,payload_minus,20410467,database_seed,2462,7.42133350968148e-09,True,FAIL,59.65521371712636,15.132497299465241,0.8017392960064633,0.43551734611212056,748.8668119315321
20260819,max_capacity__payload_plus,max_capacity,payload_plus,20410467,database_seed,2462,7.42133350968148e-09,True,FAIL,59.65521371712636,15.132497299465241,0.8017392960064633,0.43551734611212056,748.8668119315321
20260819,max_capacity__fuel_minus,max_capacity,fuel_minus,20410467,database_seed,2462,7.42133350968148e-09,True,FAIL,59.65521371712636,15.132497299465241,0.8017392960064633,0.43551734611212056,748.8668119315321
20260819,max_capacity__fuel_plus,max_capacity,fuel_plus,20410467,database_seed,2462,7.42133350968148e-09,True,FAIL,59.65521371712636,15.132497299465241,0.8017392960064633,0.43551734611212056,748.8668119315321
